brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color
chuwi,Chuwi CoreBook XPro Intel Core i3 1215U 16GB RAM 512GB SSD 15.6 Inch FHD Display Grey Laptop<br> Product Id: 33.01.767.17,Intel Core i3,Intel,12th,16,512,True,False,-1,61000,15.6,FHD,Grey
asus,"Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM, 1TB HDD + 256GB SSD 15.6 Inch FHD Display Indie Black Laptop<br> Product Id: 33.01.006.1807",Intel Core i3,Intel,11th,8,1024,True,True,-1,61800,15.6,FHD,Indie Black
asus,Asus VivoBook 15 K513EA Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD OLED Display Hearty Gold Laptop<br> Product Id: 33.01.006.1630,Intel Core i3,Intel,11th,4,512,True,False,-1,61900,15.6,FHD OLED,Hearty Gold
infinix,Infinix INBOOK X2 Intel Core i5 1155G7 8GB RAM 512GB SSD14 Inch FHD Display Grey Laptop<br> Product Id: 33.01.937.04,Intel Core i5,Intel,11th,8,512,True,False,-1,61990,14.0,FHD,Grey
asus,"Asus VivoBook Go 15 E1504FA AMD Ryzen 3 7320U 8GB RAM, 512GB SSD 15.6 Inch FHD LED Display Mixed Black Laptop<br> Product Id: 33.01.006.1767",AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,-1,62000,15.6,FHD,Mixed Black
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Soft Lavender Laptop<br> Product Id: 33.01.780.69",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Soft Lavender
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Infinite Black Laptop<br> Product Id: 33.01.780.70",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Infinite Black
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Star Silver Laptop<br> Product Id: 33.01.780.71",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Star Silver
avita,"Avita LIBER V14 Intel Core i5 1135G7  8GBRAM, 512GB SSD 14 Inch FHD Display Anchor Grey Laptop<br> Product Id: 33.01.780.73",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Anchor Grey
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Golden Matt Black Laptop<br> Product Id: 33.01.780.74",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Golden Matt Black
avita,"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Flowers on Yellow Laptop<br> Product Id: 33.01.780.75",Intel Core i5,Intel,11th,8,512,True,False,-1,62000,14.0,FHD,Flowers on Yellow
